Distance_km,Package_Weight_kg,Traffic_Index,Weather_Delay,Vehicle_Type,Priority,Warehouse_Load,Day_of_Week,Driver_Experience_Years,Delivery_Time_Hours
225.85,2.07,0.537,0,Van,Standard,0.908,Mon,11.99,5.6
193.61,3.44,0.37,0,Van,Express,0.51,Sat,6.81,4.55
154.25,5.49,0.679,0,Van,Express,0.725,Sat,7.72,4.45
316.99,4.78,0.649,0,Van,Express,0.815,Sun,14.82,7.43
184.1,5.16,0.943,0,Truck,Standard,0.665,Mon,3.91,6.25
48.39,2.51,0.963,0,Van,Express,0.949,Thu,0.78,2.67
63.41,3.08,0.697,0,Van,Standard,0.822,Mon,2.11,2.95
481.14,6.84,0.827,1,Van,Express,0.46,Wed,4.05,12.63
454.75,6.62,0.803,0,Van,Standard,0.956,Wed,11.03,10.84
351.36,4.86,0.517,0,Truck,Standard,0.572,Fri,11.75,9.18
136.61,8.67,0.719,0,Van,Standard,0.12,Sun,8.7,3.96
484.74,7.02,0.124,0,Van,Express,0.334,Sat,4.2,10.22
390.48,6.49,0.77,0,Van,Standard,0.66,Mon,8.07,9.33
359.86,0.84,0.964,1,Van,Standard,0.241,Tue,0.72,9.98
227.43,4.82,0.131,1,Bike,Standard,0.626,Tue,10.39,7.83
139.76,4.24,0.844,0,Van,Standard,0.425,Tue,9.41,4.07
52.71,9.38,0.936,0,Truck,Express,0.581,Wed,0.82,3.0
451.79,3.3,0.265,0,Van,Standard,0.102,Fri,12.35,9.68
230.61,4.0,0.549,0,Bike,Standard,0.864,Sat,11.57,7.05
105.17,1.48,0.931,0,Van,Express,0.426,Sun,4.97,3.53
156.45,1.75,0.962,0,Van,Standard,0.226,Fri,9.71,4.5
291.71,9.4,0.171,0,Bike,Standard,0.494,Wed,9.22,8.21
92.5,5.14,0.382,1,Van,Standard,0.538,Tue,2.58,3.05
429.02,11.48,0.713,0,Van,Standard,0.674,Wed,3.3,10.44
380.47,3.26,0.26,0,Truck,Standard,0.572,Sat,10.41,9.82
361.13,1.05,0.359,1,Bike,Standard,0.139,Sun,14.04,10.41
218.89,2.92,0.072,0,Bike,Standard,0.884,Wed,8.86,6.68
315.52,2.54,0.196,0,Van,Standard,0.511,Tue,8.73,7.21
294.13,5.97,0.584,0,Bike,Express,0.169,Mon,9.88,8.25
326.67,5.81,0.67,0,Van,Express,0.796,Mon,6.89,7.84
46.8,5.32,0.666,0,Van,Standard,0.694,Fri,1.29,2.29
210.82,13.74,0.789,0,Bike,Standard,0.684,Fri,6.25,6.88
25.6,8.35,0.445,0,Van,Express,0.484,Fri,13.55,1.0
249.53,1.86,0.31,0,Truck,Express,0.469,Mon,12.17,6.27
168.28,7.17,0.065,0,Van,Standard,0.583,Thu,13.95,4.26
76.54,3.81,0.246,0,Van,Standard,0.146,Tue,2.72,2.18
56.18,3.19,0.347,0,Van,Standard,0.369,Wed,7.84,1.61
295.88,9.02,0.219,0,Bike,Standard,0.989,Fri,8.98,8.51
89.44,1.76,0.069,0,Bike,Standard,0.696,Tue,3.54,3.02
462.93,6.86,0.2,0,Van,Standard,0.477,Fri,3.41,10.5
292.63,6.16,0.683,0,Van,Express,0.3,Wed,11.84,6.76
176.7,1.73,0.648,0,Bike,Standard,0.771,Thu,10.24,5.9
297.5,0.81,0.939,0,Bike,Standard,0.334,Thu,9.88,9.13
16.29,3.51,0.808,0,Truck,Standard,0.246,Wed,4.37,1.73
479.49,7.71,0.589,0,Bike,Express,0.239,Mon,7.85,12.98
243.74,4.81,0.181,0,Van,Standard,0.756,Fri,0.83,6.3
392.45,9.21,0.586,0,Van,Standard,0.679,Sun,2.38,9.29
45.95,4.58,0.109,0,Van,Standard,0.163,Fri,8.01,1.39
245.9,9.6,0.459,0,Bike,Standard,0.204,Sat,4.99,7.19
247.9,2.34,0.421,0,Bike,Express,0.67,Sat,14.5,7.0
469.22,5.31,0.456,0,Van,Standard,0.614,Mon,7.34,10.66
288.01,2.75,0.316,0,Van,Express,0.717,Sat,1.71,6.8
239.38,3.43,0.702,0,Bike,Standard,0.26,Tue,0.76,7.52
137.15,3.99,0.849,0,Van,Standard,0.754,Fri,11.02,4.53
169.13,4.8,0.78,1,Van,Standard,0.942,Sun,2.99,6.67
262.73,2.08,0.646,0,Bike,Standard,0.641,Sun,3.22,8.22
222.26,5.14,0.561,1,Van,Standard,0.277,Wed,6.65,6.67
15.7,3.84,0.08,0,Bike,Standard,0.712,Sat,4.33,1.16
414.01,1.11,0.737,0,Van,Standard,0.409,Fri,9.44,9.87
448.6,0.69,0.568,0,Bike,Standard,0.144,Mon,7.54,12.54
74.42,7.73,0.307,0,Van,Express,0.372,Tue,2.12,2.02
279.25,3.31,0.361,0,Van,Standard,0.915,Sun,11.88,6.74
58.74,1.0,0.939,0,Van,Standard,0.47,Sun,6.67,2.82
337.76,10.6,0.643,0,Van,Express,0.878,Sun,9.36,8.21
144.21,5.49,0.502,0,Truck,Express,0.558,Wed,0.56,4.42
331.41,4.71,0.64,1,Van,Standard,0.565,Wed,9.58,9.03
364.86,1.93,0.443,0,Truck,Standard,0.105,Sat,4.6,9.25
385.48,1.1,0.497,0,Bike,Standard,0.673,Mon,7.67,10.56
58.33,4.24,0.326,0,Van,Standard,0.197,Sun,4.82,2.06
458.43,3.67,0.468,0,Bike,Standard,0.531,Fri,14.95,12.68
118.96,1.5,0.701,1,Van,Standard,0.334,Fri,3.85,4.59
23.52,1.46,0.088,0,Van,Standard,0.453,Thu,13.74,0.57
279.65,1.39,0.805,1,Truck,Standard,0.583,Sun,13.81,9.08
188.61,1.35,0.319,0,Van,Express,0.113,Sat,6.6,4.02
415.75,2.27,0.698,0,Van,Express,0.356,Mon,4.91,9.41
405.08,4.71,0.661,0,Bike,Express,0.991,Thu,6.03,11.81
161.98,5.27,0.67,0,Bike,Standard,0.152,Sun,14.85,5.05
476.69,3.62,0.628,0,Van,Standard,0.387,Mon,9.47,11.2
149.0,4.11,0.961,0,Bike,Standard,0.389,Sat,8.4,5.57
259.95,5.44,0.533,1,Bike,Standard,0.441,Tue,1.02,8.68
131.7,0.5,0.746,0,Truck,Standard,0.716,Thu,12.79,4.25
468.34,4.34,0.72,0,Truck,Standard,0.323,Sun,1.72,12.37
86.48,8.59,0.274,0,Van,Standard,0.514,Thu,1.18,2.76
27.23,3.24,0.319,1,Van,Standard,0.68,Mon,4.49,2.55
220.37,7.53,0.453,0,Truck,Standard,0.39,Mon,7.4,5.97
496.23,3.29,0.314,0,Bike,Standard,0.954,Sat,13.48,14.05
446.38,5.69,0.398,0,Van,Standard,0.982,Sun,11.96,10.51
375.56,4.64,0.421,0,Van,Standard,0.208,Wed,3.37,8.53
445.94,1.37,0.624,0,Truck,Express,0.409,Sun,5.9,11.17
447.26,1.68,0.259,0,Truck,Standard,0.287,Thu,11.81,10.93
261.83,9.6,0.814,0,Van,Standard,0.268,Mon,8.14,6.43
161.38,6.53,0.466,0,Bike,Express,0.542,Thu,3.03,5.07
387.15,3.45,0.721,0,Van,Standard,0.607,Sun,6.24,9.39
332.52,3.12,0.127,0,Bike,Standard,0.483,Tue,9.58,9.16
189.96,1.94,0.496,0,Truck,Standard,0.345,Sun,14.61,5.12
51.76,4.92,0.077,0,Bike,Standard,0.351,Fri,10.1,1.79
374.66,2.08,0.692,0,Bike,Standard,0.993,Wed,0.73,11.52
134.92,2.82,0.377,0,Van,Express,0.931,Fri,10.72,3.33
468.72,2.27,0.952,1,Van,Express,0.168,Wed,4.14,12.04
124.28,6.26,0.358,0,Truck,Standard,0.691,Mon,13.0,3.78
65.77,3.35,0.586,0,Bike,Standard,0.511,Sun,6.07,3.03
416.4,4.13,0.295,0,Truck,Standard,0.72,Wed,3.39,10.78
80.88,1.39,0.639,0,Bike,Express,0.637,Thu,7.29,3.14
93.74,2.25,0.494,0,Bike,Standard,0.9,Sat,4.2,3.83
301.69,4.19,0.402,0,Van,Standard,0.16,Mon,3.92,6.87
437.91,0.86,0.244,0,Bike,Express,0.415,Sat,8.81,12.01
102.24,3.16,0.156,0,Van,Standard,0.987,Wed,11.63,3.13
158.61,3.7,0.164,0,Bike,Standard,0.264,Thu,12.61,4.68
389.82,1.24,0.999,1,Bike,Standard,0.215,Thu,6.27,12.21
486.05,7.31,0.442,0,Van,Standard,0.756,Sat,1.47,11.74
252.87,4.76,0.052,0,Bike,Standard,0.8,Tue,7.52,7.26
76.23,3.33,0.955,0,Van,Standard,0.705,Mon,6.79,3.71
11.9,2.12,0.069,0,Van,Standard,0.799,Wed,3.36,1.17
118.68,0.82,0.448,0,Bike,Express,0.724,Mon,13.49,3.94
70.25,6.95,0.732,0,Van,Standard,0.222,Tue,14.63,2.27
340.44,2.62,0.919,0,Bike,Express,0.647,Fri,1.25,10.67
65.31,1.05,0.727,0,Van,Standard,0.799,Sat,12.04,2.86
255.63,2.07,0.49,0,Bike,Express,0.879,Fri,9.86,7.37
348.66,5.11,0.976,1,Truck,Standard,0.322,Wed,4.29,11.11
292.65,4.42,0.087,0,Van,Express,0.215,Sat,9.71,5.78
103.89,1.51,0.988,0,Van,Standard,0.803,Wed,2.37,4.08
403.04,7.76,0.857,0,Truck,Standard,0.331,Tue,1.51,10.94
359.13,1.04,0.932,1,Van,Standard,0.129,Sat,14.91,9.49
370.8,8.81,0.292,0,Truck,Standard,0.843,Thu,9.73,10.27
69.87,4.29,0.185,0,Van,Express,0.555,Wed,4.17,2.27
66.26,2.78,0.68,0,Truck,Express,0.394,Fri,7.03,2.15
464.14,3.09,0.54,0,Truck,Express,0.11,Sat,14.28,11.42
201.8,3.95,0.547,0,Truck,Standard,0.132,Tue,6.86,5.64
153.97,5.38,0.928,1,Bike,Express,0.813,Mon,13.56,6.12
246.85,0.68,0.639,0,Van,Standard,0.541,Thu,13.1,6.07
333.12,2.02,0.346,0,Truck,Standard,0.235,Mon,5.49,8.52
478.03,3.86,0.43,0,Van,Standard,0.423,Fri,10.59,10.38
146.79,7.95,0.177,0,Bike,Standard,0.249,Thu,10.08,4.06
462.78,7.76,0.233,1,Truck,Standard,0.202,Tue,11.68,12.61
17.31,9.98,0.186,0,Bike,Standard,0.349,Fri,5.81,1.07
279.82,7.52,0.82,0,Van,Standard,0.595,Wed,1.26,7.32
318.82,1.89,0.72,0,Van,Standard,0.289,Wed,2.98,7.61
57.42,3.69,0.554,0,Bike,Standard,0.409,Tue,9.44,2.32
74.47,7.55,0.406,0,Van,Standard,0.53,Fri,11.74,2.45
212.46,7.08,0.685,0,Bike,Standard,0.478,Sun,11.46,6.63
483.28,3.2,0.822,0,Van,Express,0.216,Fri,8.96,11.26
300.04,5.28,0.887,0,Truck,Express,0.135,Tue,1.73,8.18
466.85,2.61,0.57,0,Van,Standard,0.132,Sat,0.75,10.61
403.16,0.96,0.829,0,Van,Standard,0.415,Mon,11.84,9.48
236.35,3.42,0.536,0,Bike,Standard,0.747,Wed,8.47,7.38
393.46,3.27,0.501,0,Truck,Standard,0.218,Mon,11.85,9.78
13.83,2.51,0.872,0,Truck,Standard,0.808,Sat,2.86,2.42
59.03,5.4,0.417,1,Bike,Standard,0.744,Mon,6.41,3.0
415.57,3.12,0.426,0,Van,Standard,0.104,Thu,13.83,9.31
399.42,4.9,0.34,1,Van,Standard,0.124,Tue,2.99,10.17
120.16,6.19,0.543,0,Van,Express,0.276,Tue,1.39,3.36
267.73,14.79,0.568,0,Van,Standard,0.151,Fri,9.98,6.63
304.98,3.46,0.677,0,Van,Standard,0.578,Sat,9.12,7.62
434.53,8.03,0.459,0,Van,Standard,0.136,Mon,14.3,9.38
303.54,4.38,0.257,0,Bike,Standard,0.822,Tue,13.64,8.8
209.22,4.56,0.873,0,Van,Standard,0.544,Wed,11.37,6.07
190.22,3.49,0.379,0,Truck,Standard,0.755,Sun,0.78,5.45
215.81,4.11,0.927,0,Bike,Standard,0.776,Mon,7.47,7.79
327.71,3.15,0.247,0,Van,Standard,0.556,Tue,13.49,7.39
434.41,7.14,0.582,0,Bike,Standard,0.933,Wed,6.79,12.7
229.68,2.08,0.56,0,Truck,Express,0.991,Wed,14.45,6.2
127.68,0.95,0.837,0,Van,Express,0.423,Mon,9.96,3.63
122.15,2.45,0.182,1,Van,Standard,0.213,Thu,2.09,3.78
374.28,2.24,0.914,1,Bike,Standard,0.427,Fri,7.88,11.78
409.2,2.45,0.555,0,Van,Standard,0.301,Tue,10.59,9.18
57.11,3.36,0.607,0,Truck,Standard,0.578,Fri,1.45,2.37
37.95,2.45,0.535,0,Van,Standard,0.441,Mon,5.5,1.83
299.24,3.32,0.084,0,Van,Standard,0.532,Sat,10.9,6.63
77.36,2.46,0.522,1,Van,Standard,0.787,Tue,2.78,3.93
413.21,4.97,0.3,0,Van,Express,0.347,Tue,5.55,8.97
158.62,14.71,0.376,0,Van,Standard,0.584,Tue,10.5,4.25
76.22,4.32,0.667,0,Van,Express,0.402,Sun,11.75,2.33
460.88,2.54,0.523,0,Bike,Standard,0.806,Thu,8.02,13.08
86.94,0.3,0.139,0,Van,Standard,0.676,Fri,14.37,2.27
145.94,11.72,0.119,0,Truck,Express,0.108,Tue,13.92,3.48
81.04,4.49,0.226,0,Truck,Standard,0.694,Mon,7.36,2.47
62.17,3.3,0.231,0,Truck,Standard,0.253,Mon,2.82,1.97
15.47,0.33,0.628,1,Van,Express,0.752,Thu,11.71,1.97
32.42,3.43,0.219,0,Bike,Standard,0.611,Wed,4.03,1.71
91.45,4.09,0.888,0,Van,Standard,0.461,Sat,12.72,3.17
31.42,2.47,0.249,1,Truck,Standard,0.725,Sat,9.01,2.28
297.62,1.14,0.137,0,Van,Standard,0.871,Wed,6.21,6.81
341.95,1.07,0.882,1,Van,Standard,0.801,Thu,8.57,9.25
199.85,11.84,0.331,0,Van,Standard,0.591,Wed,8.23,4.97
162.41,4.01,0.454,0,Van,Express,0.75,Fri,13.91,4.29
254.74,2.47,0.961,0,Truck,Standard,0.473,Fri,3.61,7.75
438.13,3.84,0.947,0,Van,Standard,0.81,Fri,13.96,10.7
426.31,3.65,0.729,0,Van,Standard,0.846,Mon,0.95,10.75
26.52,1.02,0.115,0,Bike,Standard,0.224,Wed,11.65,0.83
94.84,6.83,0.614,0,Van,Express,0.314,Sun,13.84,2.95
122.19,3.24,0.99,0,Van,Standard,0.343,Wed,6.21,4.02
128.45,4.05,0.95,0,Truck,Standard,0.249,Tue,1.56,4.42
287.76,9.4,0.151,0,Van,Express,0.453,Tue,12.17,6.25
211.05,1.17,0.426,0,Van,Express,0.274,Mon,12.72,4.61
29.38,1.99,0.35,1,Van,Express,0.636,Sat,5.38,1.92
189.94,4.66,0.173,1,Van,Standard,0.191,Mon,8.02,5.65
264.26,6.74,0.71,0,Van,Standard,0.343,Fri,12.24,6.54
55.33,2.28,0.31,0,Bike,Standard,0.699,Wed,3.28,2.43
417.56,2.39,0.378,0,Truck,Standard,0.459,Mon,9.62,10.49
30.72,5.73,0.136,0,Van,Express,0.479,Sun,6.74,0.91
462.8,13.99,0.523,0,Van,Standard,0.818,Sat,3.03,11.21
54.06,3.93,0.2,0,Bike,Standard,0.986,Sat,12.56,1.92
422.57,1.99,0.46,0,Van,Express,0.609,Sun,5.21,9.33
451.81,1.53,0.186,0,Van,Express,0.171,Sun,14.05,9.31
489.89,3.35,0.956,0,Truck,Standard,0.193,Fri,8.75,13.24
402.0,6.54,0.188,0,Bike,Express,0.972,Thu,7.96,11.24
390.84,17.88,0.546,0,Truck,Standard,0.711,Fri,6.64,10.69
323.03,2.95,0.237,0,Van,Standard,0.777,Thu,6.31,7.56
390.6,3.93,0.123,0,Bike,Standard,0.708,Tue,12.36,11.07
71.6,10.61,0.242,0,Bike,Express,0.262,Wed,10.32,1.88
270.35,4.6,0.102,0,Bike,Express,0.504,Thu,11.72,7.47
259.54,4.34,0.182,0,Truck,Standard,0.818,Mon,6.61,6.97
429.5,9.32,0.519,0,Bike,Standard,0.88,Sat,4.29,12.79
234.09,4.0,0.669,0,Van,Standard,0.314,Sun,1.76,5.84
195.62,1.64,0.133,0,Van,Standard,0.636,Wed,11.76,4.57
321.58,8.13,0.469,0,Truck,Express,0.241,Thu,6.52,8.18
136.9,0.85,0.602,0,Van,Standard,0.962,Sat,7.88,3.94
74.19,7.25,0.273,0,Van,Express,0.327,Thu,7.31,1.69
241.55,3.71,0.403,0,Bike,Standard,0.754,Fri,6.75,7.21
211.36,2.97,0.118,1,Truck,Standard,0.308,Thu,10.42,5.77
120.12,2.91,0.259,0,Bike,Standard,0.654,Tue,9.33,3.7
186.92,3.34,0.493,0,Bike,Express,0.693,Sat,14.59,5.47
186.36,2.65,0.991,1,Truck,Standard,0.396,Tue,2.51,6.96
167.11,5.08,0.996,0,Bike,Standard,0.837,Tue,8.82,6.22
192.83,2.72,0.981,0,Bike,Standard,0.897,Fri,1.42,7.3
344.44,3.73,0.452,0,Van,Express,0.87,Fri,12.21,8.06
151.95,0.52,0.127,0,Van,Express,0.398,Sun,9.44,3.31
474.68,3.71,0.357,0,Bike,Express,0.77,Fri,6.71,13.26
458.59,2.61,0.276,1,Van,Standard,0.604,Mon,12.13,11.05
243.05,6.91,0.063,1,Van,Express,0.633,Sat,7.1,6.94
167.54,3.07,0.14,0,Van,Standard,0.53,Wed,3.8,4.51
270.04,6.25,0.481,0,Bike,Standard,0.64,Mon,7.35,8.12
425.04,5.79,0.373,0,Van,Standard,0.222,Fri,1.53,10.04
328.03,5.89,0.221,0,Truck,Standard,0.468,Tue,13.52,8.14
403.17,3.15,0.73,0,Bike,Express,0.26,Wed,11.1,11.11
268.7,3.89,0.389,0,Bike,Express,0.352,Thu,11.52,7.29
318.29,4.98,0.859,0,Bike,Standard,0.215,Mon,13.18,9.42
147.64,3.98,0.279,0,Van,Standard,0.291,Sat,11.98,3.88
368.77,3.07,0.561,0,Bike,Express,0.804,Thu,6.76,10.62
105.19,1.77,0.225,0,Van,Express,0.595,Sun,2.22,2.6
348.93,3.76,0.521,0,Truck,Express,0.121,Thu,5.91,8.61
431.06,0.95,0.195,1,Bike,Standard,0.81,Fri,14.04,13.06
70.39,0.47,0.203,0,Van,Standard,0.919,Sat,14.26,2.3
309.12,1.44,0.632,0,Bike,Express,0.892,Tue,11.63,9.02
52.07,5.85,0.301,0,Bike,Express,0.841,Sun,3.46,1.86
364.23,4.4,0.214,0,Van,Standard,0.993,Tue,3.32,8.44
46.82,5.89,0.933,1,Van,Standard,0.628,Sun,13.26,4.14
468.29,2.14,0.091,1,Truck,Standard,0.966,Fri,2.56,13.61
73.02,7.37,0.587,0,Van,Standard,0.954,Thu,8.97,2.85
479.65,1.07,0.571,0,Bike,Express,0.382,Tue,5.98,13.63
401.44,1.48,0.288,0,Van,Standard,0.877,Thu,4.88,9.66
298.87,7.29,0.48,0,Bike,Standard,0.813,Thu,10.32,8.91
392.4,4.18,0.133,0,Truck,Standard,0.798,Sun,14.41,9.92
398.58,5.91,0.735,0,Van,Express,0.907,Sat,11.78,9.4
473.28,4.41,0.261,0,Van,Standard,0.446,Thu,7.55,10.41
130.42,2.4,0.234,0,Van,Standard,0.46,Wed,6.89,3.02
297.09,1.33,0.349,0,Van,Standard,0.676,Wed,13.66,6.56
52.05,0.63,0.907,0,Van,Standard,0.764,Wed,8.88,2.37
310.0,11.18,0.807,0,Bike,Standard,0.892,Mon,7.7,10.05
89.79,0.82,0.95,0,Bike,Standard,0.888,Mon,10.4,3.81
284.65,9.12,0.669,0,Bike,Express,0.749,Sat,3.94,9.08
288.35,4.02,0.68,0,Van,Express,0.961,Tue,1.42,7.26
235.66,4.51,0.506,0,Van,Standard,0.261,Wed,12.9,5.81
263.7,4.31,0.91,0,Bike,Express,0.955,Fri,9.31,8.45
383.14,5.42,0.535,0,Van,Standard,0.158,Fri,2.89,8.51
400.63,1.98,0.387,1,Van,Standard,0.6,Wed,4.82,10.04
248.62,0.4,0.658,0,Bike,Express,0.181,Sat,14.85,7.22
301.8,2.36,0.569,0,Truck,Standard,0.611,Tue,9.7,7.98
465.96,5.11,0.168,0,Van,Standard,0.451,Thu,9.72,10.14
64.27,1.5,0.423,0,Van,Standard,0.173,Mon,1.55,1.84
62.97,7.49,0.348,0,Van,Standard,0.683,Thu,14.55,2.0
48.42,3.39,0.854,0,Van,Express,0.758,Mon,13.45,2.25
330.64,1.37,0.41,0,Truck,Standard,0.257,Sun,8.44,8.35
212.21,4.15,0.83,0,Van,Standard,0.725,Fri,4.99,5.67
388.29,5.05,0.47,0,Van,Standard,0.261,Tue,10.62,8.59
337.26,5.31,0.766,0,Truck,Express,0.224,Fri,12.58,8.9
170.15,7.29,0.179,0,Truck,Standard,0.233,Wed,11.9,4.34
449.69,0.99,0.928,0,Truck,Standard,0.639,Thu,14.67,12.05
382.45,7.3,0.507,0,Bike,Standard,0.801,Tue,9.73,10.98
