Shipment_ID,Date,Origin,Destination,Transport_Mode,Shipment_Volume_m3,Weight_kg,Distance_km,Expected_Time_days,Delivery_Time_days,Delay_days,Transportation_Cost,Fuel_Cost,Handling_Cost,Total_Cost,Customer_Rating,Delivery_Status
SHP0015,2026-05-19,Mumbai,Hyderabad,Road,4.9,253.2,642.9,2.64,3.18,0.49,4930.03,1617.97,222.98,6770.97,4.43,On Time
SHP0016,2026-04-13,Delhi,Jaipur,Road,11.28,728.6,902.6,3.04,2.38,0.0,13449.5,4110.6,368.7,17928.8,5.0,On Time
SHP0017,2026-03-09,Mumbai,Lucknow,Road,4.11,290.4,686.7,2.71,3.79,1.06,5628.35,1733.17,215.15,7576.67,4.92,Delayed
SHP0018,2026-05-09,Bengaluru,Hyderabad,Road,7.91,290.2,408.8,2.28,3.34,0.76,3858.94,1264.4,197.91,5321.25,4.27,Delayed
SHP0019,2026-04-02,Mumbai,Hyderabad,Road,6.99,530.9,199.0,1.96,3.33,1.55,2437.91,691.39,291.45,3420.74,4.39,Delayed
SHP0020,2026-01-24,Bengaluru,Jaipur,Road,6.34,417.8,410.8,2.28,3.76,0.89,4237.65,1484.05,238.94,5960.64,4.1,Delayed
SHP0021,2026-05-05,Delhi,Lucknow,Rail,4.94,281.0,263.0,2.65,2.53,0.39,1540.67,435.42,207.02,2183.11,5.0,On Time
SHP0022,2026-05-21,Chennai,Ahmedabad,Road,5.13,234.0,1967.7,4.68,5.82,0.73,17178.41,4115.14,222.19,21515.74,4.68,Delayed
SHP0023,2026-04-21,Mumbai,Lucknow,Road,28.14,1358.4,603.1,2.58,3.69,0.87,14809.37,5011.16,614.48,20435.0,4.85,Delayed
SHP0024,2026-04-08,Chennai,Pune,Road,9.3,663.9,519.1,2.45,3.39,1.54,7778.95,2166.13,295.38,10240.45,3.55,Delayed
SHP0025,2026-05-19,Bengaluru,Bengaluru,Road,7.51,451.5,1158.5,3.43,4.38,0.0,14188.55,3483.07,234.48,17906.1,5.0,On Time
SHP0026,2026-06-28,Mumbai,Ahmedabad,Air,7.4,467.6,313.5,1.16,1.77,0.64,8990.78,2169.9,297.75,11458.43,4.65,Delayed
SHP0027,2026-01-17,Kolkata,Hyderabad,Road,4.92,319.1,394.9,2.26,2.98,1.03,3511.73,1273.08,204.58,4989.39,4.73,Delayed
SHP0028,2026-04-09,Chennai,Ahmedabad,Road,7.71,415.0,679.4,2.7,2.28,0.08,8026.01,1920.63,245.39,10192.04,5.0,On Time
SHP0029,2026-03-23,Mumbai,Hyderabad,Rail,6.97,299.4,1268.6,4.2,4.12,0.0,7017.81,1944.51,213.0,9175.32,5.0,On Time
SHP0030,2026-04-14,Chennai,Hyderabad,Road,3.07,198.4,900.6,3.04,4.02,1.03,6587.08,2047.28,184.68,8819.04,4.22,Delayed
SHP0031,2026-06-01,Mumbai,Ahmedabad,Rail,7.58,424.2,763.9,3.43,3.46,0.0,6266.41,1544.17,262.97,8073.56,5.0,On Time
SHP0032,2026-01-19,Delhi,Hyderabad,Road,5.19,284.1,683.9,2.7,3.75,1.15,5674.18,1606.36,226.96,7507.5,4.35,Delayed
SHP0033,2026-06-14,Chennai,Hyderabad,Road,12.06,436.6,843.1,2.95,3.17,0.0,8743.18,3036.73,301.14,12081.05,4.69,On Time
SHP0034,2026-03-26,Kolkata,Pune,Sea,13.16,482.6,741.0,5.04,6.52,1.61,4332.91,1065.16,300.9,5698.96,3.79,Delayed
SHP0035,2026-01-08,Kolkata,Lucknow,Sea,11.15,449.5,332.8,4.41,6.62,2.89,2011.58,455.98,342.56,2810.13,2.89,Delayed
SHP0036,2026-01-28,Bengaluru,Lucknow,Air,2.98,188.0,669.8,1.71,1.65,0.0,11171.11,3372.17,225.66,14768.95,4.82,On Time
SHP0037,2026-01-05,Mumbai,Bengaluru,Road,3.48,266.0,323.5,2.15,2.65,1.33,2902.46,921.34,146.74,3970.54,4.65,Delayed
SHP0038,2026-05-25,Chennai,Bengaluru,Road,4.91,287.5,685.2,2.7,2.9,0.07,6615.6,1595.66,263.96,8475.22,5.0,On Time
SHP0039,2026-04-11,Bengaluru,Pune,Rail,9.48,582.8,475.6,2.98,4.23,1.59,4497.83,1051.48,300.6,5849.91,3.94,Delayed
SHP0040,2026-06-13,Chennai,Bengaluru,Road,11.38,566.4,3000.0,6.27,6.66,0.33,35776.47,11745.0,324.62,47846.08,5.0,On Time
SHP0041,2026-04-28,Mumbai,Ahmedabad,Road,5.35,219.0,633.4,2.62,4.36,1.28,5477.06,1416.38,202.46,7095.9,4.0,Delayed
SHP0042,2026-05-27,Kolkata,Jaipur,Road,3.77,146.4,260.9,2.05,1.72,0.0,1671.15,520.1,139.37,2330.61,5.0,On Time
SHP0043,2026-03-05,Delhi,Jaipur,Road,28.33,1110.1,595.7,2.57,3.53,0.59,11276.37,3823.03,664.47,15763.87,4.61,Delayed
SHP0044,2026-04-01,Kolkata,Jaipur,Sea,7.81,439.7,911.0,5.3,5.15,0.0,4773.38,1148.15,233.37,6154.9,5.0,On Time
SHP0045,2026-04-27,Bengaluru,Pune,Road,3.06,133.2,1928.8,4.62,7.65,2.42,12918.72,4322.11,147.82,17388.65,3.12,Delayed
SHP0046,2026-04-08,Delhi,Pune,Rail,4.11,241.5,443.1,2.93,2.8,0.0,2277.7,521.66,228.65,3028.02,4.7,On Time
SHP0047,2026-01-11,Bengaluru,Hyderabad,Road,7.73,596.0,232.4,2.01,3.07,1.35,2814.93,1094.68,193.3,4102.9,3.68,Delayed
SHP0048,2026-02-23,Mumbai,Jaipur,Road,22.45,966.7,1105.3,3.35,4.05,0.46,19573.19,6548.96,470.8,26592.96,4.66,On Time
SHP0049,2026-06-22,Delhi,Ahmedabad,Road,10.71,881.3,265.0,2.06,2.59,0.69,4361.54,1525.25,312.23,6199.02,5.0,Delayed
SHP0050,2026-02-16,Bengaluru,Bengaluru,Road,7.96,429.4,489.5,2.4,3.06,0.95,5451.03,1819.12,273.61,7543.77,4.3,Delayed
SHP0051,2026-05-20,Mumbai,Ahmedabad,Sea,5.95,344.7,549.8,4.75,4.58,0.0,3010.89,587.57,244.12,3842.57,4.82,On Time
SHP0052,2026-05-29,Kolkata,Bengaluru,Air,4.07,176.4,621.2,1.63,2.38,0.76,10923.52,2635.81,182.76,13742.08,4.89,Delayed
SHP0053,2026-05-19,Mumbai,Jaipur,Sea,8.77,361.7,1017.3,5.47,8.02,2.08,5006.71,1134.27,366.51,6507.49,4.23,Delayed
SHP0054,2026-01-05,Chennai,Jaipur,Air,3.24,192.3,416.8,1.32,0.64,0.0,6679.87,1799.42,170.39,8649.68,4.97,On Time
SHP0055,2026-01-20,Mumbai,Jaipur,Rail,6.69,267.6,544.1,3.09,4.82,1.72,3584.29,865.46,232.26,4682.01,4.29,Delayed
SHP0056,2026-06-18,Mumbai,Pune,Sea,9.18,549.6,644.0,4.89,7.16,2.05,3775.22,1050.14,257.33,5082.69,3.5,Delayed
SHP0057,2026-02-15,Chennai,Bengaluru,Road,5.71,298.5,716.4,2.75,2.82,0.0,7018.1,1740.73,227.18,8986.01,5.0,On Time
SHP0058,2026-01-12,Bengaluru,Pune,Road,6.77,286.6,692.7,2.72,3.17,0.0,5661.11,1647.81,263.45,7572.37,5.0,On Time
SHP0059,2026-03-11,Bengaluru,Pune,Road,7.71,333.9,863.0,2.98,4.05,1.1,9066.93,2467.63,300.88,11835.45,4.58,Delayed
SHP0060,2026-01-17,Mumbai,Lucknow,Road,33.32,1198.5,1124.9,3.38,3.57,0.25,23744.56,6998.25,667.55,31410.35,4.13,On Time
SHP0061,2026-04-25,Chennai,Ahmedabad,Road,2.56,163.9,839.0,2.94,5.82,2.67,5822.29,1830.75,157.43,7810.47,3.34,Delayed
SHP0062,2026-05-27,Chennai,Ahmedabad,Road,9.13,404.2,872.9,2.99,3.86,0.83,9621.67,2541.65,300.05,12463.38,4.76,Delayed
SHP0063,2026-06-03,Kolkata,Hyderabad,Air,18.26,839.3,232.4,1.03,0.9,0.0,9117.7,2502.89,469.2,12089.79,4.85,On Time
SHP0064,2026-02-17,Bengaluru,Pune,Road,8.88,333.3,671.6,2.68,2.86,0.0,6088.19,1671.05,280.07,8039.31,5.0,On Time
SHP0065,2026-04-18,Delhi,Bengaluru,Road,9.53,657.3,887.7,3.02,4.68,1.89,12718.97,3753.96,310.56,16783.49,4.17,Delayed
SHP0066,2026-02-21,Bengaluru,Lucknow,Road,3.35,139.6,1044.0,3.26,3.27,0.23,7370.35,2187.76,152.04,9710.16,4.63,On Time
SHP0067,2026-04-06,Bengaluru,Lucknow,Road,6.42,304.4,414.4,2.29,2.95,0.84,3343.61,1147.08,290.09,4780.78,4.55,Delayed
SHP0068,2026-03-11,Kolkata,Ahmedabad,Air,3.37,205.7,423.5,1.33,3.31,1.51,6547.13,2234.89,215.45,8997.47,3.86,Delayed
SHP0069,2026-04-12,Delhi,Pune,Road,6.49,331.3,447.6,2.34,1.53,0.32,4186.89,1448.57,189.74,5825.2,4.76,On Time
SHP0070,2026-03-16,Kolkata,Hyderabad,Sea,5.82,335.4,921.2,5.32,5.96,0.5,4214.68,969.27,187.05,5371.0,4.53,Delayed
SHP0071,2026-06-10,Delhi,Pune,Air,7.57,355.9,1272.8,2.63,3.18,0.53,29729.13,6658.14,219.62,36606.89,5.0,Delayed
SHP0072,2026-05-31,Mumbai,Jaipur,Road,14.34,546.8,498.8,2.42,3.31,1.48,5831.52,2171.36,401.82,8404.71,4.92,Delayed
SHP0073,2026-05-23,Delhi,Pune,Road,1.26,59.7,1172.8,3.45,4.95,1.39,6391.44,2116.32,97.7,8605.46,3.73,Delayed
SHP0074,2026-06-04,Kolkata,Jaipur,Air,5.19,234.9,704.3,1.76,2.25,0.33,12068.65,3779.09,201.88,16049.62,4.15,On Time
SHP0075,2026-06-28,Bengaluru,Jaipur,Rail,7.89,388.7,599.6,3.17,3.99,0.61,4329.04,919.18,277.96,5526.18,4.58,Delayed
SHP0076,2026-03-23,Delhi,Hyderabad,Rail,1.11,86.2,566.6,3.12,2.37,0.18,2115.22,611.61,137.58,2864.42,4.37,On Time
SHP0077,2026-04-02,Delhi,Bengaluru,Air,7.64,485.9,1056.0,2.3,2.78,0.0,25024.5,7155.19,266.6,32446.29,5.0,On Time
SHP0078,2026-06-28,Chennai,Ahmedabad,Road,4.61,232.1,803.2,2.89,3.69,1.06,5749.31,2086.55,165.72,8001.58,4.68,Delayed
SHP0079,2026-06-24,Bengaluru,Pune,Road,5.22,307.9,2853.4,6.04,9.77,3.49,28838.05,8960.09,234.82,38032.97,3.6,Delayed
SHP0080,2026-01-04,Mumbai,Jaipur,Road,8.35,560.3,373.5,2.22,2.48,0.0,4353.41,1379.01,248.91,5981.32,5.0,On Time
SHP0081,2026-05-15,Kolkata,Pune,Air,13.51,673.5,910.3,2.08,1.77,0.0,31493.68,9303.43,351.89,41149.0,4.93,On Time
SHP0082,2026-04-19,Mumbai,Bengaluru,Rail,8.48,494.1,460.8,2.96,3.19,0.0,3383.02,868.78,280.98,4532.77,4.31,On Time
SHP0083,2026-06-12,Bengaluru,Ahmedabad,Road,2.59,160.8,369.4,2.22,3.61,1.52,2341.06,883.13,170.28,3394.47,4.17,Delayed
SHP0084,2026-02-17,Delhi,Bengaluru,Road,9.33,480.6,645.4,2.64,3.17,1.25,7502.97,2187.17,288.86,9979.0,4.34,Delayed
SHP0085,2026-03-14,Delhi,Ahmedabad,Road,7.04,498.4,710.7,2.74,3.79,0.64,8356.12,2997.4,220.52,11574.05,4.87,Delayed
SHP0086,2026-03-13,Bengaluru,Lucknow,Road,11.96,445.5,3000.0,6.27,6.68,0.68,36894.17,8985.87,324.79,46204.83,4.38,Delayed
SHP0087,2026-04-26,Delhi,Ahmedabad,Rail,18.96,732.7,576.7,3.14,3.48,0.64,6750.43,1605.7,461.42,8817.55,4.49,Delayed
SHP0088,2026-06-22,Delhi,Hyderabad,Rail,8.43,361.3,311.8,2.73,2.59,0.0,2283.52,520.81,223.55,3027.88,4.48,On Time
SHP0089,2026-03-22,Delhi,Bengaluru,Air,9.83,717.5,776.2,1.87,2.66,0.69,27358.38,7346.77,280.74,34985.9,3.82,Delayed
SHP0090,2026-03-22,Kolkata,Jaipur,Road,17.46,715.2,168.8,1.91,3.56,1.67,2500.37,735.53,447.85,3683.75,3.69,Delayed
SHP0091,2026-04-23,Kolkata,Lucknow,Road,12.62,506.2,612.3,2.59,2.78,0.0,7075.42,2437.45,302.4,9815.28,4.45,On Time
SHP0092,2026-04-06,Chennai,Hyderabad,Rail,9.9,407.8,656.8,3.26,2.79,0.0,5329.84,1057.93,338.76,6726.52,5.0,On Time
SHP0093,2026-03-13,Mumbai,Pune,Air,6.18,446.9,1089.5,2.35,4.22,2.13,28439.45,7670.63,275.65,36385.73,3.65,Delayed
SHP0094,2026-05-27,Bengaluru,Bengaluru,Rail,18.24,817.9,1223.9,4.13,4.09,0.0,14253.55,3220.34,404.75,17878.65,4.81,On Time
SHP0095,2026-03-04,Bengaluru,Jaipur,Air,15.49,610.9,468.6,1.4,3.75,1.69,13539.58,4529.4,446.25,18515.23,3.73,Delayed
SHP0096,2026-02-07,Bengaluru,Ahmedabad,Road,3.69,174.0,589.4,2.56,3.16,0.65,3774.1,1090.54,181.48,5046.12,3.51,Delayed
SHP0097,2026-03-08,Chennai,Jaipur,Road,9.64,431.3,395.0,2.26,3.28,0.64,4762.28,1218.73,308.12,6289.13,5.0,Delayed
SHP0098,2026-03-10,Kolkata,Pune,Road,3.85,198.9,312.2,2.13,3.38,1.24,2250.29,655.36,171.84,3077.49,3.97,Delayed
SHP0099,2026-01-13,Chennai,Lucknow,Road,4.66,227.8,795.0,2.87,2.7,0.0,6241.56,1869.31,236.2,8347.07,4.86,On Time
SHP0100,2026-06-24,Bengaluru,Lucknow,Road,3.44,274.1,284.0,2.09,2.93,0.93,2223.78,688.6,196.13,3108.51,3.98,Delayed
SHP0101,2026-01-31,Mumbai,Bengaluru,Road,2.89,130.2,496.4,2.41,2.77,0.42,3516.93,962.96,143.57,4623.46,5.0,On Time
SHP0102,2026-04-24,Delhi,Lucknow,Rail,2.54,190.6,340.4,2.77,2.98,0.0,1556.0,458.08,124.85,2138.93,5.0,On Time
SHP0103,2026-01-22,Kolkata,Bengaluru,Road,14.3,754.2,929.1,3.08,4.7,1.14,15597.02,4882.22,326.29,20805.54,4.09,Delayed
SHP0104,2026-04-03,Kolkata,Bengaluru,Road,3.79,226.9,2096.2,4.87,6.34,1.34,15221.55,5171.32,194.71,20587.58,4.13,Delayed
SHP0105,2026-06-20,Chennai,Bengaluru,Sea,11.37,548.5,278.9,4.33,5.14,0.39,2023.37,362.46,344.66,2730.49,5.0,On Time
SHP0106,2026-03-08,Kolkata,Ahmedabad,Road,5.37,380.1,194.9,1.95,1.61,0.0,2088.11,648.55,239.49,2976.15,4.97,On Time
SHP0107,2026-02-23,Bengaluru,Hyderabad,Road,10.82,469.1,599.3,2.57,4.82,2.39,6301.66,1926.35,310.64,8538.65,3.62,Delayed
SHP0108,2026-05-18,Bengaluru,Bengaluru,Air,11.87,480.2,656.7,1.69,2.86,1.43,17723.6,5169.56,293.16,23186.32,3.89,Delayed
SHP0109,2026-02-11,Chennai,Bengaluru,Road,2.7,185.1,749.3,2.8,4.68,1.76,5255.8,1530.52,144.81,6931.13,3.37,Delayed
SHP0110,2026-03-05,Bengaluru,Hyderabad,Road,7.47,546.7,486.3,2.4,2.77,0.49,5633.12,1870.4,294.84,7798.37,4.67,On Time
SHP0111,2026-05-06,Mumbai,Jaipur,Road,2.14,149.4,570.5,2.53,2.78,0.0,4233.72,1110.18,141.58,5485.47,5.0,On Time
SHP0112,2026-01-21,Chennai,Bengaluru,Road,5.75,221.0,825.4,2.92,5.35,2.75,6338.87,2176.46,228.57,8743.9,3.87,Delayed
SHP0113,2026-06-18,Mumbai,Ahmedabad,Sea,9.74,476.3,1278.3,5.87,6.37,0.49,7595.08,1535.01,257.69,9387.78,3.94,On Time
SHP0114,2026-06-01,Delhi,Lucknow,Air,3.45,177.1,182.4,1.0,1.24,0.0,2782.66,807.19,193.86,3783.72,4.61,On Time
SHP0115,2026-02-04,Mumbai,Lucknow,Rail,1.09,79.5,511.4,3.04,3.28,0.97,2010.46,420.72,123.59,2554.76,4.26,Delayed
SHP0116,2026-01-30,Delhi,Pune,Air,9.41,420.0,746.9,1.82,4.28,1.72,20001.73,5289.9,325.94,25617.57,4.05,Delayed
SHP0117,2026-02-26,Delhi,Pune,Air,2.95,114.0,357.9,1.23,1.65,0.53,5014.27,1498.85,200.18,6713.3,4.66,Delayed
SHP0118,2026-02-16,Mumbai,Lucknow,Road,12.66,501.3,2002.7,4.73,6.9,2.88,26410.44,7315.59,330.48,34056.51,3.37,Delayed
SHP0119,2026-06-12,Chennai,Lucknow,Air,6.3,286.2,430.1,1.34,3.02,1.63,9603.7,2308.79,228.99,12141.48,4.24,Delayed
SHP0120,2026-01-19,Bengaluru,Ahmedabad,Road,5.5,416.7,632.8,2.62,2.64,0.0,6182.18,2370.23,199.74,8752.15,4.68,On Time
SHP0121,2026-04-24,Bengaluru,Hyderabad,Air,5.69,412.3,933.0,2.11,2.08,0.0,20942.73,6194.81,172.73,27310.27,5.0,On Time
SHP0122,2026-01-08,Delhi,Pune,Air,6.67,521.8,442.6,1.36,3.21,1.51,13444.46,3372.91,210.11,17027.48,4.32,Delayed
SHP0123,2026-01-26,Delhi,Hyderabad,Road,7.8,484.0,195.7,1.95,2.21,0.0,2221.54,729.86,267.39,3218.78,4.89,On Time
SHP0124,2026-04-23,Chennai,Ahmedabad,Road,2.49,176.0,491.9,2.41,3.16,0.65,3127.0,1125.45,176.28,4428.74,5.0,Delayed
SHP0125,2026-03-12,Kolkata,Lucknow,Road,4.8,296.8,1269.2,3.6,3.76,0.0,10746.41,3072.32,211.52,14030.25,5.0,On Time
SHP0126,2026-01-30,Mumbai,Bengaluru,Road,7.56,416.4,522.2,2.45,2.74,0.32,5705.29,1899.84,245.56,7850.68,5.0,On Time
SHP0127,2026-05-15,Delhi,Hyderabad,Air,19.62,724.5,374.9,1.25,2.12,0.25,13918.06,3527.99,505.89,17951.95,3.81,On Time
SHP0128,2026-03-08,Bengaluru,Lucknow,Air,10.59,486.5,1186.4,2.5,2.17,0.19,28975.18,7560.19,312.83,36848.2,5.0,On Time
SHP0129,2026-03-06,Chennai,Lucknow,Road,17.52,690.8,524.3,2.46,2.75,0.25,6951.77,2639.02,459.95,10050.74,5.0,On Time
SHP0130,2026-02-05,Mumbai,Jaipur,Road,10.02,428.7,466.6,2.37,2.39,0.0,5576.76,1517.78,238.23,7332.78,5.0,On Time
SHP0131,2026-01-25,Chennai,Hyderabad,Road,8.51,616.7,716.3,2.75,6.13,3.09,10298.81,2698.3,135.9,13133.01,3.73,Delayed
SHP0132,2026-02-06,Mumbai,Bengaluru,Road,9.44,397.2,1072.7,3.3,5.67,2.67,11396.09,3600.03,299.9,15296.02,4.09,Delayed
SHP0133,2026-01-01,Mumbai,Hyderabad,Road,9.89,603.0,3000.0,6.27,6.09,0.44,42680.52,14085.35,248.16,57014.03,5.0,On Time
SHP0134,2026-05-23,Delhi,Lucknow,Road,6.17,277.4,1112.8,3.36,5.8,2.38,9489.04,3294.14,223.55,13006.74,4.16,Delayed
SHP0135,2026-02-06,Chennai,Bengaluru,Sea,13.43,769.4,1381.4,6.03,6.27,0.15,12203.13,2953.66,351.18,15507.98,5.0,On Time
SHP0136,2026-05-21,Chennai,Ahmedabad,Road,12.75,455.9,467.8,2.37,3.82,0.93,5098.7,1822.29,405.02,7326.01,4.56,Delayed
SHP0137,2026-05-16,Bengaluru,Jaipur,Road,2.12,130.8,333.7,2.16,2.46,0.74,2055.67,552.9,172.19,2780.76,4.04,Delayed
SHP0138,2026-05-13,Bengaluru,Lucknow,Rail,6.99,424.2,676.9,3.29,3.7,0.0,5350.12,1186.35,251.54,6788.02,4.89,On Time
SHP0139,2026-05-08,Delhi,Pune,Road,13.11,487.4,696.9,2.72,5.33,1.78,7995.29,2793.94,385.2,11174.43,4.16,Delayed
SHP0140,2026-05-07,Delhi,Pune,Sea,6.9,557.0,322.4,4.4,4.94,0.68,2411.2,463.53,257.17,3131.9,4.65,Delayed
SHP0141,2026-01-01,Kolkata,Jaipur,Sea,21.14,913.4,580.0,4.79,4.41,0.07,5261.58,1278.46,484.54,7024.57,4.52,On Time
SHP0142,2026-06-13,Bengaluru,Ahmedabad,Road,5.93,251.1,842.6,2.95,2.8,0.0,7698.34,2195.9,264.21,10158.45,4.43,On Time
SHP0143,2026-02-04,Mumbai,Lucknow,Road,23.27,916.7,821.6,2.91,2.92,0.0,16216.2,4509.12,499.96,21225.28,4.74,On Time
SHP0144,2026-04-14,Chennai,Hyderabad,Road,9.51,344.8,902.1,3.04,3.24,0.0,8161.48,3009.31,302.53,11473.32,5.0,On Time
SHP0145,2026-01-23,Delhi,Jaipur,Road,5.91,214.1,785.3,2.86,3.46,0.81,6533.14,1845.57,172.25,8550.96,5.0,Delayed
SHP0146,2026-01-09,Chennai,Ahmedabad,Road,3.32,254.5,467.5,2.37,2.91,0.0,3838.72,1175.71,186.9,5201.33,5.0,On Time
SHP0147,2026-02-03,Chennai,Hyderabad,Rail,11.86,471.5,465.4,2.97,2.86,0.28,4078.55,1038.16,340.2,5456.91,5.0,On Time
SHP0148,2026-06-23,Kolkata,Pune,Road,4.34,194.4,298.2,2.11,3.67,2.17,2203.49,670.52,256.86,3130.87,3.78,Delayed
SHP0149,2026-05-08,Bengaluru,Pune,Road,6.27,280.3,2073.7,4.84,8.03,2.8,19134.64,4994.0,178.03,24306.66,2.85,Delayed
SHP0150,2026-01-04,Delhi,Hyderabad,Road,5.88,418.3,655.7,2.66,2.63,0.77,6963.19,2190.8,204.8,9358.78,4.42,Delayed
SHP0151,2026-06-07,Chennai,Jaipur,Sea,17.17,766.2,561.6,4.76,5.16,0.46,4353.43,1151.75,457.78,5962.96,4.65,On Time
SHP0152,2026-04-12,Delhi,Pune,Road,15.2,548.3,355.4,2.2,5.97,2.68,4146.96,1521.18,405.32,6073.46,3.35,Delayed
SHP0153,2026-03-16,Mumbai,Lucknow,Road,9.38,352.9,3000.0,6.27,8.38,2.12,28761.9,9824.81,295.22,38881.93,3.85,Delayed
SHP0154,2026-04-09,Kolkata,Bengaluru,Road,8.95,470.3,323.5,2.15,2.23,0.47,3932.52,1229.69,247.6,5409.81,4.89,On Time
SHP0155,2026-03-13,Mumbai,Hyderabad,Sea,5.0,395.4,491.9,4.66,4.64,0.0,2760.92,549.79,189.28,3499.99,5.0,On Time
SHP0156,2026-01-03,Delhi,Hyderabad,Road,2.83,159.1,851.7,2.96,4.14,1.19,6206.65,1967.66,214.55,8388.86,4.25,Delayed
SHP0157,2026-05-22,Delhi,Pune,Rail,21.14,838.1,960.2,3.73,5.16,1.38,10584.66,3106.88,498.71,14190.25,3.58,Delayed
SHP0158,2026-06-22,Bengaluru,Jaipur,Air,17.95,772.8,1211.5,2.54,2.77,0.0,43694.18,11068.24,456.19,55218.6,4.83,On Time
SHP0159,2026-02-03,Chennai,Lucknow,Road,6.37,329.2,2104.7,4.89,6.42,1.89,17658.91,5427.15,230.62,23316.68,3.98,Delayed
SHP0160,2026-02-14,Chennai,Jaipur,Rail,3.35,260.2,903.2,3.64,4.42,0.19,5688.04,1436.06,138.91,7263.01,5.0,On Time
SHP0161,2026-03-02,Mumbai,Ahmedabad,Road,3.04,161.6,327.2,2.15,2.86,0.62,2562.35,761.5,207.47,3531.32,4.46,Delayed
SHP0162,2026-03-24,Kolkata,Ahmedabad,Rail,9.49,486.7,550.0,3.1,3.35,0.0,4364.56,1217.72,308.47,5890.75,5.0,On Time
SHP0163,2026-05-03,Chennai,Bengaluru,Rail,13.12,488.4,794.0,3.47,3.58,0.33,5700.35,1758.63,436.81,7895.79,4.92,On Time
SHP0164,2026-04-12,Bengaluru,Pune,Road,4.56,205.1,2493.2,5.49,8.51,2.57,17523.2,5817.3,166.62,23507.12,3.6,Delayed
SHP0165,2026-01-16,Mumbai,Pune,Road,6.76,398.0,262.0,2.05,2.13,0.17,2827.91,883.64,270.49,3982.05,5.0,On Time
SHP0166,2026-03-07,Mumbai,Pune,Air,11.0,539.0,1420.3,2.86,3.56,0.6,41587.84,11250.67,272.08,53110.59,4.44,Delayed
SHP0167,2026-06-17,Bengaluru,Bengaluru,Road,3.26,249.4,730.6,2.77,2.49,0.04,6460.67,1591.43,184.12,8236.22,4.77,On Time
SHP0168,2026-05-25,Kolkata,Ahmedabad,Road,8.42,305.6,1120.5,3.37,4.19,1.16,9574.26,3352.84,305.79,13232.89,4.36,Delayed
SHP0169,2026-04-29,Bengaluru,Jaipur,Road,5.4,303.8,608.3,2.59,3.41,0.58,5856.97,1692.86,144.61,7694.44,4.46,Delayed
SHP0170,2026-06-11,Kolkata,Bengaluru,Rail,4.19,213.5,375.9,2.83,2.67,0.0,2115.76,498.64,188.33,2802.73,5.0,On Time
SHP0171,2026-05-04,Bengaluru,Bengaluru,Rail,5.47,309.3,1059.0,3.88,5.46,1.88,6431.52,1610.07,198.75,8240.35,3.71,Delayed
